occupation_name, career_pathway
Food Cooking Machine Operators and Tenders, Production
Food Processing Workers,  All Other
Forging Machine Setters,  Operators
Foundry Mold and Coremakers, Production
Furnace,  Kiln
Furniture Finishers, Production
Gas Plant Operators, Production
Gem and Diamond Workers, Production
Glass Blowers,  Molders
Grinding and Polishing Workers,  Hand
Grinding,  Lapping
Heat Treating Equipment Setters,  Operators
Helpers--Production Workers, Production
Hydroelectric Plant Technicians, Production
Jewelers and Precious Stone and Metal Workers, Production
Lathe and Turning Machine Tool Setters,  Operators
Layout Workers,  Metal and Plastic
Machine Feeders and Offbearers, Production
Machinists, Production
Meat,  Poultry
Metal Workers and Plastic Workers,  All Other
Metal-Refining Furnace Operators and Tenders, Production
Milling and Planing Machine Setters,  Operators
Mixing and Blending Machine Setters,  Operators
Model Makers,  Metal and Plastic
Molders,  Shapers
Molding,  Coremaking
Multiple Machine Tool Setters,  Operators
Nuclear Power Reactor Operators, Production
Ophthalmic Laboratory Technicians, Production
Packaging and Filling Machine Operators and Tenders, Production
Painting,  Coating
Paper Goods Machine Setters,  Operators
Patternmakers,  Metal and Plastic
Petroleum Pump System Operators,  Refinery Operators
Photographic Process Workers and Processing Machine Operators, Production
Plant and System Operators,  All Other
Plating Machine Setters,  Operators
Potters,  Manufacturing
Pourers and Casters,  Metal
Power Distributors and Dispatchers, Production
Power Plant Operators, Production
Production Workers,  All Other
Recycling and Reclamation Workers, Production
Rolling Machine Setters,  Operators
Sawing Machine Setters,  Operators
Semiconductor Processing Technicians, Production
Separating,  Filtering
Sewers,  Hand
Sewing Machine Operators, Production
Shoe and Leather Workers and Repairers, Production
Shoe Machine Operators and Tenders, Production
Slaughterers and Meat Packers, Production
Stone Cutters and Carvers,  Manufacturing
Team Assemblers, Production
Textile Bleaching and Dyeing Machine Operators and Tenders, Production
Textile Cutting Machine Setters,  Operators
Textile Knitting and Weaving Machine Setters,  Operators
Textile Winding,  Twisting
Textile,  Apparel
Timing Device Assemblers and Adjusters, Production
Tire Builders, Production
Tool and Die Makers, Production
Tool Grinders,  Filers
Upholsterers, Production
Welders,  Cutters
Welding,  Soldering
Woodworkers,  All Other
Woodworking Machine Setters,  Operators
Inspectors,  Testers
Production,  Planning
Weighers,  Measurers
Public Relations Specialists, Marketing Communications
Advertising and Promotions Managers, Marketing Management
Fundraising Managers, Marketing Management
Marketing Managers, Marketing Management
Property,  Real Estate
Public Relations Managers, Marketing Management
Sales Managers, Marketing Management
Market Research Analysts and Marketing Specialists, Marketing Research
Merchandise Displayers and Window Trimmers, Merchandising
Models, Merchandising
Wholesale and Retail Buyers,  Except Farm Products
Advertising Sales Agents, Professional Sales
Cashiers, Professional Sales
Counter and Rental Clerks, Professional Sales
Demonstrators and Product Promoters, Professional Sales
Door-to-Door Sales Workers,  News and Street Vendors
Driver/Sales Workers, Professional Sales
First-Line Supervisors of Non-Retail Sales Workers, Professional Sales
First-Line Supervisors of Retail Sales Workers, Professional Sales
Parts Salespersons, Professional Sales
Real Estate Brokers, Professional Sales
Real Estate Sales Agents, Professional Sales
Retail Salespersons, Professional Sales
Sales and Related Workers,  All Other
Sales Engineers, Professional Sales
Sales Representatives of Services,  Except Advertising
Sales Representatives,  Wholesale and Manufacturing
Solar Sales Representatives and Assessors, Professional Sales
Telemarketers, Professional Sales
Aerospace Engineers, Engineering and Technology
Architectural and Engineering Managers, Engineering and Technology
Automotive Engineers, Engineering and Technology
Biofuels/Biodiesel Technology and Product Development Managers, Engineering and Technology
Chemical Engineers, Engineering and Technology
Computer Hardware Engineers, Engineering and Technology
Electrical Engineers, Engineering and Technology
Electronics Engineers,  Except Computer
Energy Engineers,  Except Wind and Solar
Engineers,  All Other
Fire-Prevention and Protection Engineers, Engineering and Technology
Fuel Cell Engineers, Engineering and Technology
Health and Safety Engineers,  Except Mining Safety Engineers and Inspectors
Human Factors Engineers and Ergonomists, Engineering and Technology
Industrial Engineers, Engineering and Technology
Manufacturing Engineers, Engineering and Technology
Marine Engineers and Naval Architects, Engineering and Technology
Materials Engineers, Engineering and Technology
Mechanical Engineers, Engineering and Technology
Mechatronics Engineers, Engineering and Technology
Microsystems Engineers, Engineering and Technology
Mining and Geological Engineers,  Including Mining Safety Engineers
Nanosystems Engineers, Engineering and Technology
Nuclear Engineers, Engineering and Technology
Petroleum Engineers, Engineering and Technology
Photonics Engineers, Engineering and Technology
Radio Frequency Identification Device Specialists, Engineering and Technology
Robotics Engineers, Engineering and Technology
Solar Energy Systems Engineers, Engineering and Technology
Validation Engineers, Engineering and Technology
Wind Energy Engineers, Engineering and Technology
Anthropologists and Archeologists, Science and Mathematics
Astronomers, Science and Mathematics
Atmospheric and Space Scientists, Science and Mathematics
Biochemists and Biophysicists, Science and Mathematics
Bioinformatics Scientists, Science and Mathematics
Biological Scientists,  All Other
Biostatisticians, Science and Mathematics
Cartographers and Photogrammetrists, Science and Mathematics
Chemists, Science and Mathematics
Climate Change Policy Analysts, Science and Mathematics
Clinical Data Managers, Science and Mathematics
Computer and Information Research Scientists, Science and Mathematics
Conservation Scientists, Science and Mathematics
Data Scientists, Science and Mathematics
Economists, Science and Mathematics
Environmental Economists, Science and Mathematics
Environmental Restoration Planners, Science and Mathematics
Environmental Scientists and Specialists,  Including Health
Geneticists, Science and Mathematics
Geographers, Science and Mathematics
Geoscientists,  Except Hydrologists and Geographers
Historians, Science and Mathematics
Hydrologists, Science and Mathematics
Industrial Ecologists, Science and Mathematics
Life Scientists,  All Other
Life,  Physical
Materials Scientists, Science and Mathematics
Mathematical Science Occupations,  All Other
Mathematicians, Science and Mathematics
Microbiologists, Science and Mathematics
Molecular and Cellular Biologists, Science and Mathematics
Park Naturalists, Science and Mathematics
Physical Scientists,  All Other
Physicists, Science and Mathematics
Political Scientists, Science and Mathematics
Precision Agriculture Technicians, Science and Mathematics
Quality Control Analysts, Science and Mathematics
Range Managers, Science and Mathematics
Remote Sensing Scientists and Technologists, Science and Mathematics
Remote Sensing Technicians, Science and Mathematics
Social Science Research Assistants, Science and Mathematics
Social Scientists and Related Workers,  All Other
Sociologists, Science and Mathematics
Statisticians, Science and Mathematics
Survey Researchers, Science and Mathematics
Transportation Planners, Science and Mathematics
Aircraft Mechanics and Service Technicians, Facility and Mobile Equipment Maintenance
Automotive and Watercraft Service Attendants, Facility and Mobile Equipment Maintenance
Automotive Body and Related Repairers, Facility and Mobile Equipment Maintenance
Automotive Glass Installers and Repairers, Facility and Mobile Equipment Maintenance
Automotive Service Technicians and Mechanics, Facility and Mobile Equipment Maintenance
Avionics Technicians, Facility and Mobile Equipment Maintenance
Bicycle Repairers, Facility and Mobile Equipment Maintenance
Bus and Truck Mechanics and Diesel Engine Specialists, Facility and Mobile Equipment Maintenance
Cleaners of Vehicles and Equipment, Facility and Mobile Equipment Maintenance
Electrical and Electronics Installers and Repairers,  Transportation Equipment
Electronic Equipment Installers and Repairers,  Motor Vehicles
Mobile Heavy Equipment Mechanics,  Except Engines
Motorboat Mechanics and Service Technicians, Facility and Mobile Equipment Maintenance
Motorcycle Mechanics, Facility and Mobile Equipment Maintenance
Rail Car Repairers, Facility and Mobile Equipment Maintenance
Rail-Track Laying and Maintenance Equipment Operators, Facility and Mobile Equipment Maintenance
Recreational Vehicle Service Technicians, Facility and Mobile Equipment Maintenance
Signal and Track Switch Repairers, Facility and Mobile Equipment Maintenance
Tire Repairers and Changers, Facility and Mobile Equipment Maintenance
Dispatchers,  Except Police
Logisticians, Logistics Planning and Management Services
Logistics Analysts, Logistics Planning and Management Services
Logistics Engineers, Logistics Planning and Management Services
Transportation,  Storage
Billing and Posting Clerks, Sales and Service
Cargo and Freight Agents, Sales and Service
Freight Forwarders, Sales and Service
Parking Attendants, Sales and Service
Aircraft Cargo Handling Supervisors, Transportation Operations
Aircraft Service Attendants, Transportation Operations
Airline Pilots,  Copilots
Ambulance Drivers and Attendants,  Except Emergency Medical Technicians
Bridge and Lock Tenders, Transportation Operations
Bus Drivers,  School
Captains,  Mates
Commercial Pilots, Transportation Operations
Couriers and Messengers, Transportation Operations
First-Line Supervisors of Helpers,  Laborers
First-Line Supervisors of Material-Moving Machine and Vehicle Operators, Transportation Operations
First-Line Supervisors of Transportation Workers,  All Other
Flight Attendants, Transportation Operations
Gas Compressor and Gas Pumping Station Operators, Transportation Operations
Heavy and Tractor-Trailer Truck Drivers, Transportation Operations
Industrial Truck and Tractor Operators, Transportation Operations
Laborers and Freight,  Stock
Light Truck Drivers, Transportation Operations
Locomotive Engineers, Transportation Operations
Motor Vehicle Operators,  All Other
Motorboat Operators, Transportation Operations
Packers and Packagers,  Hand
Passenger Attendants, Transportation Operations
Pump Operators,  Except Wellhead Pumpers
Rail Transportation Workers,  All Other
Rail Yard Engineers,  Dinkey Operators
Railroad Brake,  Signal
Railroad Conductors and Yardmasters, Transportation Operations
Recycling Coordinators, Transportation Operations
Sailors and Marine Oilers, Transportation Operations
Ship Engineers, Transportation Operations
Shuttle Drivers and Chauffeurs, Transportation Operations
Subway and Streetcar Operators, Transportation Operations
Tank Car,  Truck
Taxi Drivers, Transportation Operations
Transportation Workers,  All Other
Wellhead Pumpers, Transportation Operations
Air Traffic Controllers, Transportation Systems/Infrastructure Planning
Airfield Operations Specialists, Transportation Systems/Infrastructure Planning
Traffic Technicians, Transportation Systems/Infrastructure Planning
Weatherman, Media and Entertainment
Newsreader, Media and Entertainment
NewsAnchor, Media and Entertainment
TalkshowHost, Media and Entertainment
Standup Comic, Media and Entertainment
